source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,JkcStd_mag_U,JkcStd_mag_B,JkcStd_mag_V,JkcStd_mag_R,JkcStd_mag_I,JkcStd_flux_U,JkcStd_flux_B,JkcStd_flux_V,JkcStd_flux_R,JkcStd_flux_I,JkcStd_flux_error_U,JkcStd_flux_error_B,JkcStd_flux_error_V,JkcStd_flux_error_R,JkcStd_flux_error_I,JkcStd_mag_error_U,JkcStd_mag_error_B,JkcStd_mag_error_V,JkcStd_mag_error_R,JkcStd_mag_error_I
2760976536042474624,352.00812800820086,8.708843285294057,11.773812,12.026612,11.365481,12.35327714723586,12.375656086801538,11.90395854447414,11.606848503489044,11.307640917293515,5.237561567170372e-16,7.266705592278043e-16,6.367611848936593e-16,5.087923802192706e-16,3.535604134464751e-16,8.843236458923525e-18,2.700814123709844e-18,1.5646683334908374e-18,8.485996660115654e-19,4.873015280738516e-19,0.01833185513440672,0.00403535225033743,0.0026679029727499416,0.0018108670973754429,0.001496437077065013
2761168095879942144,351.98016594254204,8.861738587637,12.613354,12.935126,12.117052,13.444606102031916,13.402941572209944,12.772119925213442,12.40889212356564,12.049901174008784,1.916891621706646e-16,2.821131765916496e-16,2.8622794328131347e-16,2.4306540476151025e-16,1.784676604184982e-16,2.7281477923646817e-18,1.0325956057907605e-18,7.709462362713941e-19,4.676589394193527e-19,2.7480024840192347e-19,0.015452354199681507,0.003974030733431423,0.00292439735633776,0.002088961374427496,0.0016717907214497808
2761166962008600576,352.0596557490133,8.847938805335833,12.883691,13.345941,12.262561,14.62990425840439,14.03342518851817,13.136112870697826,12.626801367901432,12.18063278237533,6.433959112263284e-17,1.5784467112709132e-16,2.0469859025691034e-16,1.9886550291349003e-16,1.582220062491536e-16,1.8584336131646347e-18,7.651430267656931e-19,5.144192080781366e-19,3.241536277797649e-19,2.0588366873753125e-19,0.031361229108627556,0.005263044232319026,0.002728516879048626,0.0017697656176058026,0.0014127955928252105
2761165175302182656,351.8608040608507,8.754569957882778,13.031115,14.4869175,11.853953,17.385555721592546,15.90444509463958,14.247693979460838,13.074572301120899,11.62396964791444,5.0841424621101084e-18,2.8172277795470964e-17,7.353302091599196e-17,1.31659159888912e-16,2.641995909235544e-16,3.949863772640145e-19,2.787022980775375e-19,3.2865426389090196e-19,3.126429086317054e-19,3.6960954708745465e-19,0.08435070680608046,0.010740955259951349,0.004852674739994,0.0025782309817922347,0.001518921605799227
2760977639849923456,352.1470527300471,8.744493240799935,14.238978,14.560413,13.749839,15.040437761347013,15.012235442632129,14.400587939177495,14.039237351155453,13.680055723200685,4.4082365941901344e-17,6.407753890001583e-17,6.387410447802322e-17,5.414832906951985e-17,3.976470003672663e-17,8.118343924012527e-19,2.4261870638878056e-19,2.0598231424025214e-19,1.2327455748912714e-19,7.074776353292447e-20,0.01999525146312599,0.0041109555391774955,0.003501300847003735,0.0024717964984597,0.0019316984210221183
2760977949087567488,352.10816324039433,8.761053322599238,14.2714205,14.6065445,13.769773,15.158382982675151,15.075246246707795,14.442729415128209,14.070433155611642,13.69997287245366,3.954456539820983e-17,6.046464415493971e-17,6.14424088604372e-17,5.261465629964826e-17,3.904189157483626e-17,8.485559454183731e-19,2.3401148901943795e-19,1.979087496932689e-19,1.2427252774358893e-19,7.141989363572059e-20,0.02329796528109519,0.004202038224300149,0.00349720492353215,0.0025644410154386124,0.001986152851012362
2761166515331979264,351.9742140079408,8.799639075880467,14.287139,14.778752,13.644431,16.21109728407575,15.50969191676661,14.558813807861203,14.02742083864013,13.55813341123218,1.4996885869067038e-17,4.052501957437929e-17,5.521212681812712e-17,5.474086611101603e-17,4.449043330713564e-17,7.049474740674849e-19,1.8900158389629263e-19,1.5060856408996764e-19,1.0627683588715108e-19,7.60365781495477e-20,0.05103639527100541,0.0050636832393431115,0.002961689400550787,0.002107906152157085,0.0018555824173023747
2760978705001810944,352.0867889560075,8.777157088950757,14.328416,14.685417,13.803568,15.330899328817582,15.19928678600856,14.51107577156797,14.115706005309352,13.731562207677339,3.373496535433477e-17,5.393681351735973e-17,5.769387262403736e-17,5.0465850624201314e-17,3.792233906325339e-17,8.481315334983154e-19,2.304868888151041e-19,1.7448942598486905e-19,1.1701121679643842e-19,7.100724099375698e-20,0.027296518690446178,0.004639650427774658,0.003283702038408576,0.0025174115340834274,0.002032974079428884
2760976643417473664,352.02944287226876,8.711402370332623,14.543919,14.991206,13.6937,15.467215128578037,15.73502023975168,14.851130616539617,14.206559435799672,13.749385375849297,2.975458850905382e-17,3.2930013146952234e-17,4.2180114409219406e-17,4.6414772453104046e-17,3.7304897380853626e-17,3.366980630750666e-18,9.861000744648207e-19,1.461393896557488e-19,3.1700766378722337e-19,2.3182650345473343e-19,0.1228601353506538,0.032512727753351484,0.003761697390176389,0.007415455889767333,0.006747168487118623
2761173181121244416,352.09843267629185,8.883597910389424,14.564673,14.972982,13.990725,15.891146936589871,15.565303859468582,14.778713127445844,14.330883096916768,13.91160951690097,2.013637198048288e-17,3.8501571495986124e-17,4.50894303979574e-17,4.139298644252196e-17,3.2127445330028645e-17,6.095439836569333e-19,1.7475903147338859e-19,1.3822913668254222e-19,9.977702332012941e-20,5.716646371327541e-20,0.03286609782985145,0.004928167869690837,0.0033285046389828626,0.002617146911399813,0.0019319214059476425
2760952351082448768,351.9241986762129,8.628621070951315,14.819668,15.148026,14.259485,15.722815937197733,15.64999228219958,14.975764010124717,14.588913944787794,14.188032259182837,2.3513302175441536e-17,3.561255124009993e-17,3.760576224263781e-17,3.2637314923624436e-17,2.4906178500573874e-17,5.292468624737488e-19,1.7589831039085145e-19,1.785615253337432e-19,1.348185381253453e-19,5.0274046872479985e-20,0.024438187182511523,0.005362692570367912,0.005155345916958126,0.004484969681415082,0.002191598877680131
2761170569781104256,351.9163592018221,8.843545686517993,14.829849,15.16692,14.296977,15.729479735997884,15.650446567181792,15.002027999974413,14.612910404231148,14.227585048866406,2.3369429240531546e-17,3.559765364064455e-17,3.6706992240738585e-17,3.1923892397447883e-17,2.401518742730131e-17,4.751597132245789e-19,1.5704663031095026e-19,1.0727497278608553e-19,7.30152398078485e-20,5.011689201775039e-20,0.02207576823466661,0.004789956497840029,0.0031730282082069214,0.0024832588824543114,0.002265804682905196
2760977017078811008,352.00041930140526,8.750419795168929,14.856186,15.224482,14.321409,15.967018806317787,15.755762347980006,15.046748164503395,14.64128113399364,14.249471788823445,1.877727114130178e-17,3.230688314356893e-17,3.522578939119238e-17,3.110051254673494e-17,2.3535925705356897e-17,5.818844723100279e-19,1.672522726254875e-19,1.1680627957315596e-19,7.633886538628721e-20,4.896105889491284e-20,0.033645625811087765,0.0056208408254857225,0.0036002261089820966,0.002665032283808799,0.002258623473365346
2760978911160240768,352.1000213509427,8.801611921212045,14.878241,15.351608,14.242767,16.501409270551935,16.02420194804427,15.146822249128338,14.626377621397328,14.157138062973548,1.1478266180000897e-17,2.5230114461255392e-17,3.21241097035329e-17,3.153036160292731e-17,2.5625053147486166e-17,5.087945140602915e-19,1.438105673718151e-19,1.0413340554676307e-19,7.622521386967092e-20,4.665440792013138e-20,0.048127183673443465,0.006188649673475109,0.003519518815316696,0.0026247867200498475,0.001976752184625626
2760976196740874368,351.98031340833853,8.696100478328063,14.989824,15.398557,14.396474,15.93463456808913,15.942501417872503,15.224545536784131,14.77622048503579,14.311582781379645,1.9345776796795102e-17,2.7201912096603223e-17,2.990486080487711e-17,2.7465771711151858e-17,2.222730902156444e-17,5.165111683693438e-19,1.4641988621572797e-19,9.731341679431109e-20,6.966517748527232e-20,4.61701643946908e-20,0.028987974044723905,0.005844198415038371,0.003533094519706644,0.002753900607713489,0.0022552716126957536
2761168336398120320,351.99926073964514,8.899416705087125,15.015847,15.39119,14.479083,16.27254779908345,15.952701865973747,15.200761302071843,14.78577328767901,14.406493975171397,1.4171665089709025e-17,2.694754796472955e-17,3.056718737528238e-17,2.7225175307254997e-17,2.0366781768893594e-17,5.222061823971524e-19,1.333154160138607e-19,9.188387119609291e-20,6.372227727634412e-20,4.0183406026699056e-20,0.0400078716924263,0.00537137456840567,0.0032636841710729724,0.0025412355552445753,0.002142143969957864
2760975372107154688,352.00201066612874,8.680854845531202,15.072112,15.554538,14.431645,16.856049026138756,16.25765083846012,15.342675141103495,14.815904804138317,14.346307997353566,8.279810354009634e-18,2.0348840356699294e-17,2.6821924985440147e-17,2.6480005949510256e-17,2.152765877748063e-17,4.552851237437334e-19,1.3035184936609473e-19,1.0084724619228688e-19,6.592806561450891e-20,4.438748000894598e-20,0.05970179523459424,0.00695507555875797,0.004082238929553306,0.002703190017548531,0.0022386593257462603
2761174349352345984,352.03252803255066,8.93692227302286,15.174266,15.623477,14.560327,16.669435992074327,16.26502618170615,15.423047501510087,14.932759997120929,14.474847164918135,9.83253731307087e-18,2.0211080288839562e-17,2.49081228698569e-17,2.3778037144868404e-17,1.9124105639782637e-17,4.45613240587918e-19,1.2980884595212009e-19,9.010242697836302e-20,6.141235414793608e-20,3.9863488125434285e-20,0.049205857371396294,0.006973311754439606,0.003927532701606043,0.0028041682293457157,0.0022631768052825767
2760976265460351360,351.950205918677,8.68104502414161,15.1937275,16.44938,14.085826,18.789998058745624,17.799756019060883,16.216183224118726,15.134366921452294,13.875260698436744,1.3945714709437676e-18,4.916970383199706e-18,1.19973881664897e-17,1.9748459852293022e-17,3.322123096909283e-17,2.396260149886528e-19,8.136283176916856e-20,6.64304847694503e-20,5.2005529924500624e-20,5.3347706597814256e-20,0.18655956004823881,0.017966057407070475,0.006011807021071731,0.0028591741892270393,0.0017435096414081712
2761166549691716864,351.9784154634309,8.813886899038767,15.480194,15.815048,14.9722185,16.362557287563618,16.294299781282124,15.65268482404814,15.27773288633939,14.904708685935997,1.3044189066404736e-17,1.967343014059651e-17,2.0159793088375962e-17,1.7305607340361257e-17,1.2871718271780103e-17,4.375598311823225e-19,1.1433981514014742e-19,7.208957460059657e-20,5.0428938898021056e-20,3.340762905382377e-20,0.03642039746924977,0.006310179569898108,0.0038824932769081846,0.0031638603403082886,0.002817951077937149
2760977257597039488,352.09896984255306,8.717796809413388,15.752158,16.583765,14.860875,18.760216262253312,17.71921762542708,16.354958582655232,15.493506319796712,14.721919011417075,1.4333541068129904e-18,5.2955728856474965e-18,1.0557876241621217e-17,1.4186572181012454e-17,1.523184092358657e-17,2.581344002032231e-19,7.048894893103375e-20,5.471199721868021e-20,4.681382756677777e-20,3.646962315303818e-20,0.1955314898544675,0.014452148151372761,0.005626396337245337,0.003582787076682493,0.002599580078979403
2761170569781104128,351.91207734410654,8.843427053572958,15.884146,16.692766,14.994679,18.93719260680731,17.73571440610583,16.465161531441485,15.649774749143607,14.856136332448418,1.217763512514117e-18,5.215719625463301e-18,9.538836117328878e-18,1.2284856853913967e-17,1.3460632488946536e-17,3.258633811064008e-19,7.07618009637557e-20,4.9503097087861224e-20,3.9773322270686e-20,3.7113608282974934e-20,0.2905339723487684,0.014730210735477128,0.00563457680736403,0.0035151680224127604,0.002993588023083358
2761168302038371584,351.98586478519644,8.890376915311988,15.93872,16.838943,14.9775715,18.327091473528068,18.079077685535697,16.629926742347276,15.703592814738041,14.830981306226835,2.1360106345804045e-18,3.801621943536566e-18,8.19576133571429e-18,1.1690763476497884e-17,1.3776137775117502e-17,3.340129824073444e-19,6.164897081665917e-20,4.5578316233148027e-20,3.664886061898978e-20,3.15071742781273e-20,0.16977911157737868,0.017606832187909902,0.00603800257952864,0.0034036267107074797,0.002483169113274574
2761168095879942016,351.98784612237813,8.868466856273358,15.943864,16.30561,15.416029,16.81724886200526,16.806420618152767,16.135924483184215,15.733778729689352,15.340708271975554,8.58105044802378e-18,1.2275289766740753e-17,1.2917849091238492e-17,1.1370210582275356e-17,8.614631230936203e-18,3.37121082941563e-19,8.839164701780318e-20,5.998705334847928e-20,4.144137940787328e-20,2.7036408873150642e-20,0.04265498348412796,0.007818146307670514,0.0050418699875798756,0.003957218353403789,0.003407506040979246
2761166480972241280,351.9850530021127,8.798534524275416,16.029772,16.786657,15.186574,18.712307357182667,17.842864004473423,16.558613656219148,15.752302257075979,15.062714561177206,1.498018087278216e-18,4.725572148403102e-18,8.752145672032004e-18,1.1177871100517643e-17,1.1128437102533546e-17,2.460031258301906e-19,7.668100386637875e-20,5.646881262399707e-20,4.288150878210655e-20,3.05689809666433e-20,0.1782985816164596,0.01761804486321508,0.007005166116178457,0.004165194443620904,0.002982435814863046
2761177201210619008,352.0129491028227,8.927628058998934,16.074091,16.8776,15.200146,19.941473226562316,18.017727923800695,16.661701937270497,15.80753155543108,15.066611070241134,4.828927770043709e-19,4.022618350776576e-18,7.959379736615338e-18,1.0623494021502668e-17,1.1088570752315954e-17,2.7643612396899974e-19,5.739330031272689e-20,4.3464193226620125e-20,3.47215652395255e-20,2.668417130820113e-20,0.6215390297573924,0.015490901354848586,0.005928935389230715,0.0035485933714576373,0.002612777744799165
2761172219048544000,351.9174023746168,8.92429348975363,16.118824,16.472689,15.599799,17.028687420460205,16.944564955248214,16.303689304430602,15.916599449808384,15.525749073635712,7.062606858269578e-18,1.080871381074692e-17,1.1068385537827536e-17,9.60815985680484e-18,7.264744930176147e-18,3.3499732684601634e-19,8.212741858423837e-20,5.367840294056883e-20,3.7551947250783324e-20,2.324756145941438e-20,0.05149921743527825,0.008249706053977884,0.005265500129805736,0.0042434253069246275,0.003474412300971718
2761166240454073472,351.991116069243,8.781576215913761,16.187593,16.860582,15.413149,20.84585378229194,17.84653650353935,16.624905307809247,15.91406364120471,15.307782761331179,2.0994159244591e-19,4.709614919334033e-18,8.233753799873215e-18,9.630626574671817e-18,8.879875881486306e-18,1.280992207296726e-18,6.966040021322098e-20,5.0243664214817984e-20,3.9882702499407544e-20,3.044853028409647e-20,6.624793121131637,0.01605923623159616,0.006625333550607053,0.004496290424247907,0.003722920472350619
2761167889721512704,351.9889031627214,8.852683640335785,16.208935,16.546234,15.702382,17.0259003940464,17.02897752060547,16.381394477345435,16.00396494449188,15.629168570216937,7.08075947846558e-18,1.0000207045018381e-17,1.0303913615683877e-17,8.865311953478952e-18,6.6046920329778464e-18,3.37845374942882e-19,8.240359574624538e-20,5.496615537045412e-20,3.8009110929750785e-20,2.3204235150524854e-20,0.051803899892538204,0.008946671494018767,0.005791852217319042,0.004654982031501316,0.003814512180257859
2760975062869510912,352.0184302796392,8.646108322249837,16.23598,16.792416,15.525845,18.32879671353123,17.5850016226892,16.57566714275428,15.972628715554922,15.43275084344251,2.132658483380145e-18,5.9923800699045335e-18,8.615751074975267e-18,9.124908405758864e-18,7.91443037063097e-18,3.205592192076677e-19,7.062861519751268e-20,4.76523026836052e-20,3.6032792259234764e-20,2.522612356263132e-20,0.16319666405806052,0.01279692604896662,0.006005028443075308,0.00428739724003028,0.0034606300611710853
2760978670642064128,352.03670758034394,8.792267198500294,16.262611,17.469933,15.185836,21.79844267942904,18.80069209507597,17.2167214217551,16.16808309720069,14.981167272157766,8.730978690093772e-20,1.955794236459671e-18,4.773879266348564e-18,7.621610686005323e-18,1.19964594713641e-17,4.2477764861990527e-19,5.240800158822206e-20,3.684931357008904e-20,2.9946560545333406e-20,3.0001960995752606e-20,5.282299825126533,0.029093686688818277,0.008380738521301659,0.004266035924893359,0.0027153190776483234
2761165518899565568,351.88529700099815,8.78096417901883,16.356474,16.83121,15.725617,18.203826947235978,17.5371414319243,16.632947524870307,16.10503488784062,15.637548702685098,2.3928155431580107e-18,6.262437826649802e-18,8.17299042362479e-18,8.077296866082078e-18,6.553910689409068e-18,3.5169888383285254e-19,7.891998259741548e-20,5.096237722508924e-20,3.764461961638653e-20,2.3400227604488726e-20,0.1595828029629009,0.013682576139959036,0.006770067645482503,0.0050601243348486835,0.0038765365464668504
2761140608089225344,351.8494669988664,8.682260432736264,16.516857,16.953726,15.922958,18.062516237437492,17.55285632622628,16.761890405856743,16.284972455318755,15.83455546136516,2.725420416939452e-18,6.172448420960809e-18,7.25778063600542e-18,6.843700855538047e-18,5.466354784936293e-18,2.457869083747808e-19,6.755483038359603e-20,4.3906836001115e-20,3.0048454836928934e-20,1.984853801232232e-20,0.09791507520067026,0.01188292232701193,0.006568294616992693,0.004767112999553858,0.00394234863622147
2761167099447539584,352.0198784303601,8.849230997813319,16.554285,16.902737,16.037834,17.445190714186,17.386703814115247,16.7385351064267,16.349163689499004,15.966687356315088,4.812422119905476e-18,7.193139359059042e-18,7.415594222726966e-18,6.450814065153112e-18,4.839996610170035e-18,3.8675735653124703e-19,7.674866573353243e-20,4.799645720644308e-20,3.3139704808910655e-20,2.0385298860173904e-20,0.08725678130055033,0.011584483616160095,0.007027284628041084,0.005577742121013585,0.00457294886752573
2760974238235848832,352.11534754889595,8.708724506015628,16.576786,17.104954,15.880061,18.726289231012565,17.846942284725518,16.91753973427136,16.319326545542342,15.779310992839346,1.4788506194881671e-18,4.70785508481449e-18,6.288457154959707e-18,6.6305473652562505e-18,5.751691749715652e-18,4.0037124549100523e-19,6.370284448586995e-20,4.2850973667652077e-20,3.170815527851024e-20,2.2170162047983685e-20,0.29394284374992447,0.014691294306717416,0.007398452811817752,0.00519213426516872,0.0041850204510769425
2761172906243337984,352.1123873782112,8.874731812505974,16.588003,17.519215,15.638763,19.364577266605327,18.70067613517475,17.289789223663664,16.383735168715308,15.479634697377595,8.2150288576484855e-19,2.1445172597610317e-18,4.4631790570902556e-18,6.248646157105575e-18,7.579946163127192e-18,1.9215034189017305e-19,5.236259025320563e-20,3.4826860397557285e-20,2.831473545108054e-20,2.3307670751520733e-20,0.25395477795866356,0.026510376521360166,0.008472163618803336,0.004919839055445372,0.003338543762567821
2760976162381135744,351.9611449078704,8.688612677726901,16.658388,16.940302,16.21275,17.011332258356067,17.30358488381353,16.808946347230385,16.486696391213858,16.144012553530704,7.176407586811223e-18,7.765439606962085e-18,6.949946494571558e-18,5.683311281626525e-18,4.110692385980117e-18,3.162379072273391e-19,7.021951847622904e-20,4.3086517835389277e-20,2.931779600598376e-20,1.9990045842327944e-20,0.04784440418694637,0.009817843850330327,0.0067310723021217845,0.0056008532684663935,0.00527986880745767
2761171321399885696,351.9760242430087,8.917115047844892,16.688831,17.794825,15.646312,20.2807253561494,19.07265063227779,17.574179425771792,16.559459913353603,15.453333809724452,3.5330506011258273e-19,1.5224384616777689e-18,3.4346954098094597e-18,5.31491146685394e-18,7.765804909400362e-18,2.146072182482861e-19,4.907987041285225e-20,3.2988825303214716e-20,2.6202068045666523e-20,2.4286689202733426e-20,0.6595060557025272,0.035001606681262114,0.010428046074143224,0.005352588485082667,0.0033955189537657484
