apertures	EWs	EWs error	AVs	AVs error
5	5.711404960070322	1.0982191788720128	210719.8736046848	623442.0213932947
10	2.4718094592002533	2.41813025384156	34.14906058748454	222.46413340650003
20	1.699215318781335	1.2650235336545959	4.2603336931691524	14.519236257781843
25	1.7224805815199251	0.7412741315371866	4.5359052516728955	9.058251390571094
27.5	1.735600107444365	0.7737799103252853	4.699090611914962	9.795640089058997
30	1.2550254681372124	0.6306163949493306	1.2874829651760995	2.1872997306456874
32.5	0.9165135863914494	0.4329181965866228	0.5172286700966202	0.6032397912513193
35	0.5127111368852421	0.2869898382221329	0.17427445127902697	0.1347416290917879
37.5	0.5368866545337927	0.26248731526481855	0.18600262770169737	0.13153125107986277
40	0.6776704553887785	0.2505719446496193	0.27179166030095464	0.1834721374730857
